Maze_ID,Prolific_ID,Age,Icon,Website,Speed,Misclick_Rate,,,,,,,
508575918,616b5241d8eb9504f10a5cb2,60+,IO,3,20.06,0,,,,,,,
508575918,616b5241d8eb9504f10a5cb2,60+,IO,4,2.98,0,,,,,,,
508575918,616b5241d8eb9504f10a5cb6,60+,IO,5,9.56,0,,,,,,,
508575918,616b5241d8eb9504f10a5cb2,60+,IO,6,4.11,0,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,1,21.48,75,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,2,12.68,0,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,3,11.91,50,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,4,4.05,0,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,5,2.78,0,,,,,,,
508575967,664c9ccdfb4921f641e9ff91,60+,IWTL,6,8.39,0,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,1,35.48,50,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,2,17.98,0,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,3,42.07,0,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,4,6,0,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,5,16.94,0,,,,,,,
508574892,696048693feb325fab7a29e0,60+,IO,6,7.01,50,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,1,1.22,0,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,2,1.55,0,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,3,88.51,98.1,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,4,3.51,0,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,5,3.15,0,,,,,,,
508568853,67f80601e44359732a7f2af4,60+,TO,6,6.23,0,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,1,92.75,97.9,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,2,13.55,0,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,3,52.63,96,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,4,11.42,66.7,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,5,5.85,0,,,,,,,
508568821,67dca3ab5e7374bfad603e28,60+,IWTL,6,3.18,0,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,1,68.17,91.7,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,2,32.91,83.3,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,3,122.28,96.3,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,4,7.78,0,,,,,,,
508568714,69aa0a558c97b2096af416e7,60+,IO,5,16.94,50,,,,,,,
